exame;str_codigo_amb_autorizacao;autorizacao
RM COTOVELO ESQUERDO;41101316;SIM
DOPPLER COL VEIA CAVA INFERIOR;40901432;SIM
USG DE ARTICUL. PE DIR.;40901220;NÃO
USG DE ARTICUL. PE ESQ.;40901220;NÃO
PERFIL BIOFISICO FETAL;40901505;SIM
USG DE ARTIC. JOELHO DIR.;40901220;NÃO
RM ATM-BILATERAL;41101103;SIM
DOPPLER COL VENO MMB SUPER;40901467;SIM
RM DE PERNA ESQUERDA;41101294;SIM
RM SELA TURCICA (HIPOFISE) COM CONTRASTE;41101022;SIM
RM COCCIX;41101316;SIM
RM COTOVELO DIREITO;41101316;SIM
ANGIO RM VEN ABDOME SUPERI;41101529;SIM
ANGIO RM VENOSA DE PELVE;41101600;SIM
RM TORNOZELO ESQUERDO C/ CONTR;41101316;SIM
RM ATM (BILATERAL) COM CONTRASTE;41101103;SIM
USG DE AXILA;40901211;NÃO
RM SELA TURCICA;41101022;SIM
DOPPLER DE ARTERIAS RENAIS;40901394;SIM
CORE BIOPSY POR EXTEREOTAXIA;40808254;SIM
RM BRACO ESQUERDO;41101316;SIM
RM DE PELVE CONTRASTE;41101189;SIM
USG DE ARTICULACOES;40901220;NÃO
RM DE MAMAS COM PRÓTESE ;41101480;SIM
USG DE MAMAS C/ DOPPLER;40901386;SIM
FATOR V DE LEIDEN (SANGUE);40314057;SIM
ENTEROGRAFIA RM;41101189;SIM
FATOR V LEIDEN PCR;40314057;SIM
CALPROTECTINA FECAL;40303330;SIM
USG TRANSVAGINAL COM PREPARO INTESTINAL - ENDOMETRIOSE;40901300;NÃO
DOPPLER COL VENO MMB INFERI UNILATERAL;40901483;SIM
DOPPLER COL ARTE MMB INFERI UNILATERAL;40901475;SIM
USG PAREDE ABDOMINAL DOPPLER;40901386;SIM
CORE BIOPSY POR ESTEREOTAXIA;40808254;SIM
DOPPLER COL VENO MMB SUPER UNILATERAL;40901467;SIM
USG - ESTRUTURAS SUPERFICIAIS COM DOPPLER (CERVICAL OU MUSCULO OU TENDAO);40901386;SIM
RM AXILAS;41101480;SIM
USG DE ARTIC. PE ESQ. DOPPLER;40901386;SIM
USG DE ARTIC. PE DIR. DOPPLER;40901386;SIM
